Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"Aachen","06/13/2019",10.3,18.8,14.4,8.5,68.65,,18.1,31.3,193.75,,0.6,12.5,0.0,6.2,28.2,1012.2,"Light Rain",50.7782,6.08864,"Aachen, Nordrhein-Westfalen, Deutschland","Aachen, Nordrhein-Westfalen, Deutschland","","Rain, Partially cloudy"
"Aachen","06/14/2019",11.2,24.1,18.0,10.7,63.87,,10.7,22.4,155.46,,0.08,16.67,0.0,6.1,18.7,1013.5,"Light Rain",50.7782,6.08864,"Aachen, Nordrhein-Westfalen, Deutschland","Aachen, Nordrhein-Westfalen, Deutschland","","Rain"
"Aachen","06/15/2019",14.6,21.6,17.5,13.5,78.93,,17.8,24.6,234.54,,9.67,41.67,0.0,10.0,55.0,1013.2,"Drizzle, Rain, Heavy Drizzle/Rain, Rain Showers, Light Rain",50.7782,6.08864,"Aachen, Nordrhein-Westfalen, Deutschland","Aachen, Nordrhein-Westfalen, Deutschland","","Rain, Partially cloudy"
"Aachen","06/16/2019",13.0,20.5,16.6,11.2,71.54,,11.7,20.1,230.0,,0.0,0.0,0.0,6.2,27.3,1020.1,"",50.7782,6.08864,"Aachen, Nordrhein-Westfalen, Deutschland","Aachen, Nordrhein-Westfalen, Deutschland","","Partially cloudy"
"Aachen","06/17/2019",11.0,24.8,18.9,11.4,64.64,,8.0,13.4,180.0,,0.0,0.0,0.0,8.6,3.9,1019.6,"",50.7782,6.08864,"Aachen, Nordrhein-Westfalen, Deutschland","Aachen, Nordrhein-Westfalen, Deutschland","","Clear"
"Aachen","06/18/2019",13.7,25.8,21.0,13.0,61.45,,8.5,13.4,177.0,,0.0,0.0,0.0,8.1,14.5,1014.1,"",50.7782,6.08864,"Aachen, Nordrhein-Westfalen, Deutschland","Aachen, Nordrhein-Westfalen, Deutschland","","Clear"
"Aachen","06/19/2019",15.4,27.0,20.6,14.5,69.79,27.1,14.0,26.8,181.04,,1.9,37.5,0.0,10.6,18.8,1008.3,"Light Drizzle, Thunderstorm, Light Rain",50.7782,6.08864,"Aachen, Nordrhein-Westfalen, Deutschland","Aachen, Nordrhein-Westfalen, Deutschland","","Rain"
"Aachen","06/20/2019",14.5,19.0,16.4,13.6,83.94,,12.5,17.9,247.54,,1.55,29.17,0.0,14.2,72.0,1012.3,"",50.7782,6.08864,"Aachen, Nordrhein-Westfalen, Deutschland","Aachen, Nordrhein-Westfalen, Deutschland","","Rain, Partially cloudy"
